ChEBI_ID,Name,Definition,Stars,Category
CHEBI:10642,scyllo-inositol,,,Metabolite
CHEBI:10980,(R)-3-(4-hydroxyphenyl)lactate,,,Metabolite
CHEBI:10983,(R)-3-hydroxybutyrate,The conjugate base of (<i>R</i>)-3-hydroxybutyric acid.,,Metabolite
CHEBI:1156,2-hydroxyestrone,A 2-hydroxy steroid that is estrone substituted by a hydroxy group at position 2.,,Metabolite
CHEBI:116314,oleamide,A fatty amide derived from oleic acid.,,Metabolite
CHEBI:11892,N-carbamoyl-beta-alaninate,A monocarboxylic acid anion that is the conjugate base of <em>N</em>-carbamoyl-β-alanine arising from deprotonation of the carboxy group.,,Metabolite
CHEBI:11893,"3alpha,12alpha-dihydroxy-7-oxo-5beta-cholanate",,,Metabolite
CHEBI:131705,2'-deoxynucleoside 3'-monophosphate(2-),An organophosphate oxoanion obtained by deprotonation of the phosphate OH groups of any 2'-deoxynucleoside 3'-monophosphate; major species at pH 7.3.,,Metabolite
CHEBI:131725,coproporphyrin III(4-),A cyclic tetrapyrrole anion obtained by deprotonation of the four carboxy groups of coproporphyrin III; major species at pH 7.3.,,Metabolite
CHEBI:131859,oxo-ETE anion,An icosanoid anion arising from deprotonation of the carboxylic acid function of any oxoicosatetraenoic acid.,,Ion
CHEBI:13193,hydrogen acceptor,A molecular entity that can undergo reduction by the gain of hydrogen atom(s).,,Metabolite
CHEBI:131964,"(14S,15R)-EET(1-)","A 14,15-EET(1−) that is the conjugate base of (14<i>S</i>,15<i>R</i>)-EET, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,Metabolite
CHEBI:131965,"(14R,15S)-EET(1-)","A 14,15-EET(1−) that is the conjugate base of (14<i>R</i>,15<i>S</i>)-EET, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,Metabolite
CHEBI:131969,"(11S,12R)-EET(1-)","An 11,12-EET(1−) that is the conjugate base of (11<i>S</i>,12<i>R</i>)-EET, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,Metabolite
CHEBI:13197,ribonucleoside 3'-monophosphate(2-),A ribonucleoside 3'-monophosphate(2−) oxoanion in which both of the acidic hydroxy groups from the phosphate moiety are deprotonated.,,Metabolite
CHEBI:131970,"(11R,12S)-EET(1-)","An 11,12-EET(1−) that is the conjugate base of (11<i>R</i>,12<i>S</i>)-EET, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,Metabolite
CHEBI:131974,"(8S,9R)-EET(1-)","An 8,9-EET(1−) that is the conjugate base of (8<i>S</i>,9<i>R</i>)-EET, obtained by deprotonation of the carboxy group; major species at pH 7.3.",,Metabolite
CHEBI:132028,tauroursodeoxycholate,An organosulfonate oxoanion that is the conjugate base of tauroursodeoxycholic acid arising from deprotonation of the sulfonate OH group; major species at pH 7.3.,,Metabolite
