Entry,Entry Name,Protein names,Gene Names,Function [CC],Subcellular location [CC],Involvement in disease,Gene Ontology (biological process),Gene Ontology (molecular function),Gene Ontology (cellular component),Cofactor,Catalytic activity,KEGG,Reactome
O14682,ENC1_HUMAN,Ectoderm-neural cortex protein 1 (ENC-1) (Kelch-like protein 37) (Nuclear matrix protein NRP/B) (p53-induced gene 10 protein),ENC1 KLHL37 NRPB PIG10,Actin-binding protein involved in the regulation of neuronal process formation and in differentiation of neural crest cells. Down-regulates transcription factor NF2L2/NRF2 by decreasing the rate of protein synthesis and not via a ubiquitin-mediated proteasomal degradation mechanism. .,"Nucleus matrix . Cytoplasm . Cytoplasm, cytoskeleton .",,negative regulation of translation [GO:0017148]; nervous system development [GO:0007399]; positive regulation of neuron projection development [GO:0010976]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; protein ubiquitination [GO:0016567],actin binding [GO:0003779],chromatin [GO:0000785]; Cul3-RING ubiquitin ligase complex [GO:0031463]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; neuronal cell body [GO:0043025]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],,,hsa:8507;,
O14775,GNB5_HUMAN,Guanine nucleotide-binding protein subunit beta-5 (Gbeta5) (Transducin beta chain 5),GNB5,"Enhances GTPase-activating protein (GAP) activity of regulator of G protein signaling (RGS) proteins, such as RGS7 and RGS9, hence involved in the termination of the signaling initiated by the G protein coupled receptors (GPCRs) by accelerating the GTP hydrolysis on the G-alpha subunits, thereby promoting their inactivation (PubMed:27677260). Increases RGS7 GTPase-activating protein (GAP) activity, thereby regulating mood and cognition (By similarity). Increases RGS9 GTPase-activating protein (GAP) activity, hence contributes to the deactivation of G protein signaling initiated by D(2) dopamine receptors (PubMed:27677260). May play an important role in neuronal signaling, including in the parasympathetic, but not sympathetic, control of heart rate (By similarity). .",Membrane .,"Lodder-Merla syndrome, type 1, with impaired intellectual development and cardiac arrhythmia (LDMLS1) [MIM:617173]: An autosomal recessive multisystem disorder characterized by delayed psychomotor development, severe intellectual disability with poor or absent speech, and bradycardia and/or cardiac sinus arrhythmias. Additional features include visual abnormalities, seizures, hypotonia, and gastric reflux. . Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Lodder-Merla syndrome, type 2, with developmental delay and with or without cardiac arrhythmia (LDMLS2) [MIM:617182]: An autosomal recessive neurodevelopmental disorder characterized by speech impairment and variable expressivity of attention deficit-hyperactivity disorder. Some patients manifest developmental and motor delay, hypotonia, and sinus-node dysfunction. . Note=The disease is caused by variants affecting the gene represented in this entry.",dark adaptation [GO:1990603]; G protein-coupled dopamine receptor signaling pathway [GO:0007212]; G protein-coupled receptor signaling pathway [GO:0007186]; light adaption [GO:0036367]; signal transduction [GO:0007165],G-protein gamma-subunit binding [GO:0031682]; GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; protein-folding chaperone binding [GO:0051087]; signaling receptor complex adaptor activity [GO:0030159],cell tip [GO:0051286]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; GTPase activator complex [GO:1902773]; heterotrimeric G-protein complex [GO:0005834]; nucleus [GO:0005634]; parallel fiber to Purkinje cell synapse [GO:0098688]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734],,,hsa:10681;,R-HSA-1296041;R-HSA-202040;R-HSA-2514859 [O14775-1];R-HSA-381676;R-HSA-392170;R-HSA-392451;R-HSA-392851;R-HSA-400042;R-HSA-4086398;R-HSA-416476;R-HSA-416482;R-HSA-418217;R-HSA-418555;R-HSA-418592;R-HSA-418594;R-HSA-418597;R-HSA-420092;R-HSA-428930;R-HSA-432040;R-HSA-456926;R-HSA-500657;R-HSA-6814122;R-HSA-8964315;R-HSA-8964616;R-HSA-9009391;R-HSA-9634597;R-HSA-9660821;R-HSA-9856530;R-HSA-997272;
O14810,CPLX1_HUMAN,Complexin-1 (Complexin I) (CPX I) (Synaphin-2),CPLX1,"Positively regulates a late step in exocytosis of various cytoplasmic vesicles, such as synaptic vesicles and other secretory vesicles (PubMed:21785414). Organizes the SNAREs into a cross-linked zigzag topology that, when interposed between the vesicle and plasma membranes, is incompatible with fusion, thereby preventing SNAREs from releasing neurotransmitters until an action potential arrives at the synapse (PubMed:21785414). Also involved in glucose-induced secretion of insulin by pancreatic beta-cells. Essential for motor behavior. .","Cytoplasm, cytosol . Perikaryon . Presynapse . Note=Enriched at synaptic-releasing sites in mature neurons. .","Developmental and epileptic encephalopathy 63 (DEE63) [MIM:617976]: A form of epileptic encephalopathy, a heterogeneous group of severe early-onset epilepsies characterized by refractory seizures, neurodevelopmental impairment, and poor prognosis. Development is normal prior to seizure onset, after which cognitive and motor delays become apparent. DEE63 is an autosomal recessive disease with onset in infancy. . Note=The disease is caused by variants affecting the gene represented in this entry.",chemical synaptic transmission [GO:0007268]; exocytosis [GO:0006887]; insulin secretion [GO:0030073]; modulation of chemical synaptic transmission [GO:0050804]; regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane [GO:0099145]; regulation of exocytosis [GO:0017157]; regulation of synaptic vesicle fusion to presynaptic active zone membrane [GO:0031630]; synaptic vesicle exocytosis [GO:0016079],SNARE binding [GO:0000149]; syntaxin-1 binding [GO:0017075],calyx of Held [GO:0044305]; cytosol [GO:0005829]; dendrite [GO:0030425]; glutamatergic synapse [GO:0098978]; perikaryon [GO:0043204]; postsynapse [GO:0098794]; Schaffer collateral - CA1 synapse [GO:0098685]; SNARE complex [GO:0031201]; synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex [GO:0070032]; synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex [GO:0070554]; terminal bouton [GO:0043195],,,hsa:10815;,R-HSA-181429;R-HSA-181430;R-HSA-210500;R-HSA-212676;R-HSA-264642;R-HSA-888590;
O14874,BCKD_HUMAN,"Branched-chain alpha-ketoacid dehydrogenase kinase (BCKDH kinase) (BCKDHKIN) (BDK) (EC 2.7.11.1) ([3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial) (EC 2.7.11.4)",BCKDK,"Serine/threonine-protein kinase component of macronutrients metabolism. Forms a functional kinase and phosphatase pair with PPM1K, serving as a metabolic regulatory node that coordinates branched-chain amino acids (BCAAs) with glucose and lipid metabolism via two distinct phosphoprotein targets: mitochondrial BCKDHA subunit of the branched-chain alpha-ketoacid dehydrogenase (BCKDH) complex and cytosolic ACLY, a lipogenic enzyme of Krebs cycle (PubMed:24449431, PubMed:29779826, PubMed:37558654). Phosphorylates and inactivates mitochondrial BCKDH complex a multisubunit complex consisting of three multimeric components each involved in different steps of BCAA catabolism: E1 composed of BCKDHA and BCKDHB, E2 core composed of DBT monomers, and E3 composed of DLD monomers. Associates with the E2 component of BCKDH complex and phosphorylates BCKDHA on Ser-337, leading to conformational changes that interrupt substrate channeling between E1 and E2 and inactivates the BCKDH complex (PubMed:29779826, PubMed:37558654). Phosphorylates ACLY on Ser-455 in response to changes in cellular carbohydrate abundance such as occurs during fasting to feeding metabolic transition. Refeeding stimulates MLXIPL/ChREBP transcription factor, leading to increased BCKDK to PPM1K expression ratio, phosphorylation and activation of ACLY that ultimately results in the generation of malonyl-CoA and oxaloacetate immediate substrates of de novo lipogenesis and glucogenesis, respectively (PubMed:29779826). Recognizes phosphosites having SxxE/D canonical motif (PubMed:29779826). .",Mitochondrion matrix . Note=Detected in the cytosolic compartment of liver cells. .,"Branched-chain ketoacid dehydrogenase kinase deficiency (BCKDKD) [MIM:614923]: A metabolic disorder characterized by autism, epilepsy, intellectual disability, and reduced branched-chain amino acids. . Note=The disease is caused by variants affecting the gene represented in this entry. A diet enriched in branched amino acids (BCAAs) allows to normalize plasma BCAA levels. This suggests that it may be possible to treat patients with mutations in BCKDK with BCAA supplementation.",amino acid catabolic process [GO:0009063]; branched-chain amino acid catabolic process [GO:0009083]; L-isoleucine catabolic process [GO:0006550]; L-leucine catabolic process [GO:0006552]; L-valine catabolic process [GO:0006574]; lipid biosynthetic process [GO:0008610]; regulation of glucose metabolic process [GO:0010906]; regulation of pyruvate decarboxylation to acetyl-CoA [GO:0010510]; spermatogenesis [GO:0007283],[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity [GO:0047323]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine phosphatase activity [GO:0004722]; pyruvate dehydrogenase (acetyl-transferring) kinase activity [GO:0004740],mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; oxoglutarate dehydrogenase complex [GO:0045252],,"Reaction=L-seryl-[3-methyl-2-oxobutanoate dehydrogenase] + ATP = O-phospho-L-seryl-[3-methyl-2-oxobutanoate dehydrogenase] + ADP + H(+); Xref=Rhea:RHEA:17301, Rhea:RHEA-COMP:13695, Rhea:RHEA-COMP:13696, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.4; Evidence=; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:17302; Evidence=; CATALYTIC ACTIVITY: Reaction=L-seryl-[protein] + ATP = O-phospho-L-seryl-[protein] + ADP + H(+); Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; Evidence=; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:17990; Evidence=;",hsa:10295;,R-HSA-70895;R-HSA-9912481;
O14880,MGST3_HUMAN,"Glutathione S-transferase 3, mitochondrial (GST-3) (EC 2.5.1.-) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20)",MGST3,"Displays both glutathione S-transferase and glutathione peroxidase activities toward oxyeicosanoids, as part of cellular detoxification as well as synthesis of bioactive metabolites (PubMed:36370807, PubMed:9278457). Catalyzes conjugate addition of reduced glutathione to the alpha, beta-unsaturated C=C carbonyl group of eisosanoids such as leukotriene A4 and 15-deoxy-Delta12,14-prostaglandin J2 to form GSH adducts relevant to the inflammatory response (PubMed:36370807, PubMed:9278457). Catalyzes glutathione-dependent reduction of eicosanoid peroxides to yield the corresponding eicosanoid hydroxides (PubMed:9278457). .",Mitochondrion outer membrane ; Multi-pass membrane protein .,,arachidonate metabolic process [GO:0019369]; leukotriene biosynthetic process [GO:0019370]; lipid metabolic process [GO:0006629]; prostanoid metabolic process [GO:0006692],glutathione peroxidase activity [GO:0004602]; glutathione transferase activity [GO:0004364]; identical protein binding [GO:0042802]; leukotriene-C4 synthase activity [GO:0004464],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nuclear envelope [GO:0005635],,"Reaction=leukotriene C4 = leukotriene A4 + glutathione; Xref=Rhea:RHEA:17617, ChEBI:CHEBI:57463, ChEBI:CHEBI:57925, ChEBI:CHEBI:57973; EC=4.4.1.20; Evidence=; PhysiologicalDirection=right-to-left; Xref=Rhea:RHEA:17619; Evidence=; CATALYTIC ACTIVITY: Reaction=15-deoxy-Delta(12,14)-prostaglandin J2 + glutathione = 15-deoxy-Delta(12,14)-prostaglandin J2-S-(R)-glutathione; Xref=Rhea:RHEA:75963, ChEBI:CHEBI:57925, ChEBI:CHEBI:85236, ChEBI:CHEBI:194498; Evidence=; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:75964; Evidence=; CATALYTIC ACTIVITY: Reaction=(5S)-hydroperoxy-(6E,8Z,11Z,14Z)-eicosatetraenoate + 2 glutathione = (5S)-hydroxy-(6E,8Z,11Z,14Z)-eicosatetraenoate + glutathione disulfide + H2O; Xref=Rhea:RHEA:48620, ChEBI:CHEBI:15377, ChEBI:CHEBI:57450, ChEBI:CHEBI:57925, ChEBI:CHEBI:58297, ChEBI:CHEBI:90632; Evidence=; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:48621; Evidence=;",hsa:4259;,R-HSA-156590;R-HSA-5423646;
O14920,IKKB_HUMAN,Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK-2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB) (Serine/threonine protein kinase IKBKB) (EC 2.7.11.1),IKBKB IKKB,"Serine kinase that plays an essential role in the NF-kappa-B signaling pathway which is activated by multiple stimuli such as inflammatory cytokines, bacterial or viral products, DNA damages or other cellular stresses (PubMed:20434986, PubMed:20797629, PubMed:21138416, PubMed:30337470, PubMed:9346484). Acts as a part of the canonical IKK complex in the conventional pathway of NF-kappa-B activation (PubMed:9346484). Phosphorylates inhibitors of NF-kappa-B on 2 critical serine residues (PubMed:20434986, PubMed:20797629, PubMed:21138416, PubMed:9346484). These modifications allow polyubiquitination of the inhibitors and subsequent degradation by the proteasome (PubMed:20434986, PubMed:20797629, PubMed:21138416, PubMed:9346484). In turn, free NF-kappa-B is translocated into the nucleus and activates the transcription of hundreds of genes involved in immune response, growth control, or protection against apoptosis (PubMed:20434986, PubMed:20797629, PubMed:21138416, PubMed:9346484). In addition to the NF-kappa-B inhibitors, phosphorylates several other components of the signaling pathway including NEMO/IKBKG, NF-kappa-B subunits RELA and NFKB1, as well as IKK-related kinases TBK1 and IKBKE (PubMed:11297557, PubMed:14673179, PubMed:20410276, PubMed:21138416). IKK-related kinase phosphorylations may prevent the overproduction of inflammatory mediators since they exert a negative regulation on canonical IKKs (PubMed:11297557, PubMed:20410276, PubMed:21138416). Phosphorylates FOXO3, mediating the TNF-dependent inactivation of this pro-apoptotic transcription factor (PubMed:15084260). Also phosphorylates other substrates including NAA10, NCOA3, BCL10 and IRS1 (PubMed:17213322, PubMed:19716809). Phosphorylates RIPK1 at 'Ser-25' which represses its kinase activity and consequently prevents TNF-mediated RIPK1-dependent cell death (By similarity). Phosphorylates the C-terminus of IRF5, stimulating IRF5 homodimerization and translocation into the nucleus (PubMed:25326418). Following bacterial lipopolysaccharide (LPS)-induced TLR4 endocytosis, phosphorylates STAT1 at 'Thr-749' which restricts interferon signaling and anti-inflammatory responses and promotes innate inflammatory responses (PubMed:38621137). IKBKB-mediated phosphorylation of STAT1 at 'Thr-749' promotes binding of STAT1 to the ARID5A promoter, resulting in transcriptional activation of ARID5A and subsequent ARID5A-mediated stabilization of IL6 (PubMed:32209697). It also promotes binding of STAT1 to the IL12B promoter and activation of IL12B transcription (PubMed:32209697). .",Cytoplasm . Nucleus . Membrane raft . Note=Colocalized with DPP4 in membrane rafts. .,"Immunodeficiency 15B (IMD15B) [MIM:615592]: An autosomal recessive primary immunodeficiency disorder characterized by onset in infancy of life-threatening bacterial, fungal, and viral infections and failure to thrive. Laboratory studies show hypo- or agammaglobulinemia with relatively normal numbers of B and T-cells, and impaired differentiation and activation of immune cells. . Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Immunodeficiency 15A (IMD15A) [MIM:618204]: An autosomal dominant primary immunodeficiency disorder characterized by lymphopenia, inflammation and immune activation of both CD4+ and CD8+ T cells. Patients suffer from recurrent respiratory tract infections, oral candidiasis, and otitis media. . Note=The disease is caused by variants affecting the gene represented in this entry.","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; autophagy [GO:0006914]; canonical NF-kappaB signal transduction [GO:0007249]; cellular response to tumor necrosis factor [GO:0071356]; Fc-epsilon receptor signaling pathway [GO:0038095]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; integrin-mediated signaling pathway [GO:0007229]; interleukin-1-mediated signaling pathway [GO:0070498]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of autophagy [GO:0010507]; negative regulation of bicellular tight junction assembly [GO:1903347]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein localization to plasma membrane [GO:0072659]; protein maturation [GO:0051604]; protein phosphorylation [GO:0006468]; regulation of establishment of endothelial barrier [GO:1903140]; regulation of toll-like receptor signaling pathway [GO:0034121]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; response to virus [GO:0009615]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; stress-activated MAPK cascade [GO:0051403]; T cell receptor signaling pathway [GO:0050852]; toll-like receptor 3 signaling pathway [GO:0034138]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]; tumor necrosis factor-mediated signaling pathway [GO:0033209]",ATP binding [GO:0005524]; identical protein binding [GO:0042802]; IkappaB kinase activity [GO:0008384]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; scaffold protein binding [GO:0097110]; transferrin receptor binding [GO:1990459],CD40 receptor complex [GO:0035631]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; IkappaB kinase complex [GO:0008385]; membrane raft [GO:0045121]; nucleus [GO:0005634],,"Reaction=L-seryl-[I-kappa-B protein] + ATP = O-phospho-L-seryl-[I-kappa-B protein] + ADP + H(+); Xref=Rhea:RHEA:19073, Rhea:RHEA-COMP:13698, Rhea:RHEA-COMP:13699, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.10; Evidence=; CATALYTIC ACTIVITY: Reaction=L-seryl-[protein] + ATP = O-phospho-L-seryl-[protein] + ADP + H(+); Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; Evidence=; CATALYTIC ACTIVITY: Reaction=L-threonyl-[protein] + ATP = O-phospho-L-threonyl-[protein] + ADP + H(+); Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1; Evidence=;",hsa:3551;,R-HSA-1169091;R-HSA-1236974;R-HSA-168638;R-HSA-168927;R-HSA-1810476;R-HSA-202424;R-HSA-209543;R-HSA-209560;R-HSA-2871837;R-HSA-445989;R-HSA-5357905;R-HSA-5357956;R-HSA-5602636;R-HSA-5603027;R-HSA-5603029;R-HSA-5607764;R-HSA-5684264;R-HSA-9020702;R-HSA-933542;R-HSA-933543;R-HSA-937039;R-HSA-937041;R-HSA-9705671;R-HSA-975144;R-HSA-9758274;R-HSA-9833482;R-HSA-9860276;R-HSA-9860927;R-HSA-9909505;
O15049,N4BP3_HUMAN,NEDD4-binding protein 3 (N4BP3),N4BP3 KIAA0341,"Plays a positive role in the antiviral innate immune signaling pathway. Mechanistically, interacts with MAVS and functions as a positive regulator to promote 'Lys-63'-linked polyubiquitination of MAVS and thus strengthens the interaction between MAVS and TRAF2 (PubMed:34880843). Also plays a role in axon and dendrite arborization during cranial nerve development. May also be important for neural crest migration and early development of other anterior structures including eye, brain and cranial cartilage (By similarity). .","Cytoplasmic vesicle . Cell projection, axon . Cell projection, dendrite . Note=In developing neurons, accumulates in early growth cones and at branching points of axons and dendrites. .",,innate immune response [GO:0045087]; nervous system development [GO:0007399],,axon [GO:0030424]; cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425],,,hsa:23138;,
O15075,DCLK1_HUMAN,Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1),DCLK1 DCAMKL1 DCDC3A KIAA0369,Probable kinase that may be involved in a calcium-signaling pathway controlling neuronal migration in the developing brain. May also participate in functions of the mature nervous system.,,,axon extension [GO:0048675]; central nervous system development [GO:0007417]; endosomal transport [GO:0016197]; intracellular signal transduction [GO:0035556]; nervous system development [GO:0007399]; protein localization to nucleus [GO:0034504]; protein phosphorylation [GO:0006468]; response to virus [GO:0009615],ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674],cytoplasm [GO:0005737]; plasma membrane [GO:0005886],,"Reaction=L-seryl-[protein] + ATP = O-phospho-L-seryl-[protein] + ADP + H(+); Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; CATALYTIC ACTIVITY: Reaction=L-threonyl-[protein] + ATP = O-phospho-L-threonyl-[protein] + ADP + H(+); Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1;",hsa:9201;,
O15083,ERC2_HUMAN,ERC protein 2,ERC2 KIAA0378,Thought to be involved in the organization of the cytomatrix at the nerve terminals active zone (CAZ) which regulates neurotransmitter release. Seems to act together with BSN. May recruit liprin-alpha proteins to the CAZ.,"Cytoplasm . Synapse . Presynaptic active zone . Cytoplasm, cytoskeleton . Note=In neurons, localized to synapses, and colocalizes with PCLO. Localized to the active zone of presynaptic density (By similarity). .",,maintenance of presynaptic active zone structure [GO:0048790]; regulation of calcium-dependent activation of synaptic vesicle fusion [GO:0150037]; regulation of presynaptic cytosolic calcium ion concentration [GO:0099509]; synaptic vesicle priming [GO:0016082],structural constituent of presynaptic active zone [GO:0098882],cytoskeleton [GO:0005856]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; presynaptic active zone [GO:0048786]; presynaptic active zone cytoplasmic component [GO:0098831]; presynaptic membrane [GO:0042734],,,hsa:26059;,
O15118,NPC1_HUMAN,NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein),NPC1,"Intracellular cholesterol transporter which acts in concert with NPC2 and plays an important role in the egress of cholesterol from the endosomal/lysosomal compartment (PubMed:10821832, PubMed:12554680, PubMed:18772377, PubMed:27238017, PubMed:9211849, PubMed:9927649). Unesterified cholesterol that has been released from LDLs in the lumen of the late endosomes/lysosomes is transferred by NPC2 to the cholesterol-binding pocket in the N-terminal domain of NPC1 (PubMed:18772377, PubMed:19563754, PubMed:27238017, PubMed:27378690, PubMed:28784760, PubMed:9211849, PubMed:9927649). Cholesterol binds to NPC1 with the hydroxyl group buried in the binding pocket (PubMed:19563754). Binds oxysterol with higher affinity than cholesterol. May play a role in vesicular trafficking in glia, a process that may be crucial for maintaining the structural and functional integrity of nerve terminals (Probable). Inhibits cholesterol-mediated mTORC1 activation throught its interaction with SLC38A9 (PubMed:28336668). .; FUNCTION: (Microbial infection) Acts as an endosomal entry receptor for ebolavirus. .",Late endosome membrane ; Multi-pass membrane protein . Lysosome membrane ; Multi-pass membrane protein .,"Niemann-Pick disease C1 (NPC1) [MIM:257220]: A lysosomal storage disorder that affects the viscera and the central nervous system. It is due to defective intracellular processing and transport of low-density lipoprotein derived cholesterol. It causes accumulation of cholesterol in lysosomes, with delayed induction of cholesterol homeostatic reactions. Niemann-Pick disease type C1 has a highly variable clinical phenotype. Clinical features include variable hepatosplenomegaly and severe progressive neurological dysfunction such as ataxia, dystonia and dementia. The age of onset can vary from infancy to late adulthood. An allelic variant of Niemann-Pick disease type C1 is found in people with Nova Scotia ancestry. Patients with the Nova Scotian clinical variant are less severely affected. . Note=The disease is caused by variants affecting the gene represented in this entry.",adult walking behavior [GO:0007628]; autophagy [GO:0006914]; bile acid metabolic process [GO:0008206]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; cellular response to steroid hormone stimulus [GO:0071383]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; cholesterol storage [GO:0010878]; cholesterol transport [GO:0030301]; cyclodextrin metabolic process [GO:2000900]; endocytosis [GO:0006897]; establishment of protein localization to membrane [GO:0090150]; gene expression [GO:0010467]; glycoprotein biosynthetic process [GO:0009101]; intestinal cholesterol absorption [GO:0030299]; intracellular cholesterol transport [GO:0032367]; intracellular lipid transport [GO:0032365]; liver development [GO:0001889]; lysosomal transport [GO:0007041]; macroautophagy [GO:0016236]; membrane raft organization [GO:0031579]; negative regulation of epithelial cell apoptotic process [GO:1904036]; negative regulation of macroautophagy [GO:0016242]; negative regulation of TORC1 signaling [GO:1904262]; neurogenesis [GO:0022008]; programmed cell death [GO:0012501]; response to cadmium ion [GO:0046686]; response to xenobiotic stimulus [GO:0009410]; sterol transport [GO:0015918]; symbiont entry into host cell [GO:0046718],cholesterol binding [GO:0015485]; cholesterol transfer activity [GO:0120020]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; virus receptor activity [GO:0001618],endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; membrane raft [GO:0045121]; nuclear envelope [GO:0005635]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886],,"Reaction=cholesterol(in) = cholesterol(out); Xref=Rhea:RHEA:39747, ChEBI:CHEBI:16113; Evidence=;",hsa:4864;,R-HSA-8964038;
