chebi_id,name,description,formula,mass,charge,monoisotopic_mass,smiles,inchikey,ontology_parents,ontology_parent_ids,kegg_compound_id
CHEBI:137583,"2-[(15R)-hydroxy-(5Z,8Z,11Z,13E)-icosatetraenoyl]-sn-glycero-3-phosphocholine","A 2-acyl-<em>sn</em>-glycero-3-phosphocholine in which the acyl group is specified as (15<i>R</i>)-hydroxy-(5<i>Z</i>,8<i>Z</i>,11<i>Z</i>,13<i>E</i>)-icosatetraenoyl.",,559.681,0.0,,,,2-acyl-sn-glycero-3-phosphocholine; oxidized 2-acyl-sn-glycero-3-phosphocholine zwitterion,CHEBI:57875; CHEBI:167119,
CHEBI:137584,"2-[(15S)-hydroxy-(5Z,8Z,11Z,13E)-icosatetraenoyl]-sn-glycero-3-phosphocholine","A 2-acyl-<em>sn</em>-glycero-3-phosphocholine in which the acyl group is specified as (15<i>S</i>)-hydroxy-(5<i>Z</i>,8<i>Z</i>,11<i>Z</i>,13<i>E</i>)-icosatetraenoyl.",,559.681,0.0,,,,2-acyl-sn-glycero-3-phosphocholine; oxidized 2-acyl-sn-glycero-3-phosphocholine zwitterion,CHEBI:57875; CHEBI:167119,
CHEBI:137688,(25R)-26-hydroxycholestanol,A cholestanoid that is cholestanol which is substituted by a hydroxy group at position 26 and has <i>R</i>-configuration at position 25.,,404.679,0.0,,,,cholestanoid; 26-hydroxy steroid; 3beta-hydroxy steroid,CHEBI:50401; CHEBI:36852; CHEBI:36836,
CHEBI:137830,arachidonoyl amine,A primary fatty amide resulting from the formal condensation of the carboxy group of arachidonic acid with ammonia.,,303.49,0.0,,,,primary fatty amide,CHEBI:143129,
CHEBI:137954,N(6)-[(E)-but-2-enoyl]-L-lysine residue,An <em>N</em><small><sup>6</small></sup>-acyl-<small>L</small>-lysine residue derived from <em>N</em><small><sup>6</small></sup>-[(<i>E</i>)-but-2-enoyl]-<small>L</small>-lysine.,,196.25,0.0,,,,N(6)-acyl-L-lysine residue,CHEBI:137967,
CHEBI:138002,"(5Z,8S,9S,11Z,14Z)-8,9-dihydroxyicosatrienoate","A (5<i>Z</i>,11<i>Z</i>,14<i>Z</i>)-8,9-dihydroxyicosatrienoate obtained by deprotonation of the carboxy group of (5<i>Z</i>,8<i>S</i>,9<i>S</i>,11<i>Z</i>,14<i>Z</i>)-8,9-dihydroxyicosatrienoic acid; major species at pH 7.3.",,337.48,-1.0,,,,"(5Z,11Z,14Z)-8,9-dihydroxyicosatrienoate",CHEBI:84032,
CHEBI:138003,"(5Z,8Z,11Z,14R,15R)-14,15-dihydroxyicosatrienoate","A (5<i>Z</i>,8<i>Z</i>,11<i>Z</i>)-14,15-dihydroxyicosatrienoate obtained by deprotonation of the carboxy group of (5<i>Z</i>,8<i>Z</i>,11<i>Z</i>,14<i>R</i>,15<i>R</i>)-14,15-dihydroxyicosatrienoic acid; major species at pH 7.3.",,337.48,-1.0,,,,"(5Z,8Z,11Z)-14,15-dihydroxyicosatrienoate",CHEBI:84029,
CHEBI:138004,"(5Z,8Z,11R,12R,14Z)-11,12-dihydroxyicosatrienoate","A (5<i>Z</i>,8<i>Z</i>,14<i>Z</i>)-11,12-dihydroxyicosatrienoate obtained by deprotonation of the carboxy group of (5<i>Z</i>,8<i>Z</i>,11<i>R</i>,12<i>R</i>,14<i>Z</i>)-11,12-dihydroxyicosatrienoic acid; major species at pH 7.3.",,337.48,-1.0,,,,"(5Z,8Z,14Z)-11,12-dihydroxyicosatrienoate",CHEBI:84031,
CHEBI:138005,"(5Z,8Z,11S,12S,14Z)-11,12-dihydroxyicosatrienoate","A (5<i>Z</i>,8<i>Z</i>,14<i>Z</i>)-11,12-dihydroxyicosatrienoate obtained by deprotonation of the carboxy group of (5<i>Z</i>,8<i>Z</i>,11<i>S</i>,12<i>S</i>,14<i>Z</i>)-11,12-dihydroxyicosatrienoic acid; major species at pH 7.3.",,337.48,-1.0,,,,"(5Z,8Z,14Z)-11,12-dihydroxyicosatrienoate",CHEBI:84031,
CHEBI:138006,"(5Z,8Z,11Z,14S,15S)-14,15-dihydroxyicosatrienoate","A (5<i>Z</i>,8<i>Z</i>,11<i>Z</i>)-14,15-dihydroxyicosatrienoate obtained by deprotonation of the carboxy group of (5<i>Z</i>,8<i>Z</i>,11<i>Z</i>,14<i>S</i>,15<i>S</i>)-14,15-dihydroxyicosatrienoic acid; major species at pH 7.3.",,337.48,-1.0,,,,"(5Z,8Z,11Z)-14,15-dihydroxyicosatrienoate",CHEBI:84029,
