ChEBI_ID,Name,Definition,Stars
CHEBI:10642,scyllo-inositol,,
CHEBI:10980,(R)-3-(4-hydroxyphenyl)lactate,,
CHEBI:10983,(R)-3-hydroxybutyrate,The conjugate base of (<i>R</i>)-3-hydroxybutyric acid.,
CHEBI:1156,2-hydroxyestrone,A 2-hydroxy steroid that is estrone substituted by a hydroxy group at position 2.,
CHEBI:116314,oleamide,A fatty amide derived from oleic acid.,
CHEBI:11892,N-carbamoyl-beta-alaninate,A monocarboxylic acid anion that is the conjugate base of <em>N</em>-carbamoyl-β-alanine arising from deprotonation of the carboxy group.,
CHEBI:11893,"3alpha,12alpha-dihydroxy-7-oxo-5beta-cholanate",,
CHEBI:131705,2'-deoxynucleoside 3'-monophosphate(2-),An organophosphate oxoanion obtained by deprotonation of the phosphate OH groups of any 2'-deoxynucleoside 3'-monophosphate; major species at pH 7.3.,
CHEBI:131725,coproporphyrin III(4-),A cyclic tetrapyrrole anion obtained by deprotonation of the four carboxy groups of coproporphyrin III; major species at pH 7.3.,
CHEBI:131859,oxo-ETE anion,An icosanoid anion arising from deprotonation of the carboxylic acid function of any oxoicosatetraenoic acid.,
CHEBI:13193,hydrogen acceptor,A molecular entity that can undergo reduction by the gain of hydrogen atom(s).,
CHEBI:131964,"(14S,15R)-EET(1-)","A 14,15-EET(1−) that is the conjugate base of (14<i>S</i>,15<i>R</i>)-EET, obtained by deprotonation of the carboxy group; major species at pH 7.3.",
CHEBI:131965,"(14R,15S)-EET(1-)","A 14,15-EET(1−) that is the conjugate base of (14<i>R</i>,15<i>S</i>)-EET, obtained by deprotonation of the carboxy group; major species at pH 7.3.",
CHEBI:131969,"(11S,12R)-EET(1-)","An 11,12-EET(1−) that is the conjugate base of (11<i>S</i>,12<i>R</i>)-EET, obtained by deprotonation of the carboxy group; major species at pH 7.3.",
CHEBI:13197,ribonucleoside 3'-monophosphate(2-),A ribonucleoside 3'-monophosphate(2−) oxoanion in which both of the acidic hydroxy groups from the phosphate moiety are deprotonated.,
